,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
1004,1004.0,M,Ing. Industrial,7.0,8.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
1005,1005.0,M,Ing. Industrial,5.0,8.0,Si,Si,,1,1,3,1,3,1,0,0, ,0
1006,1006.0,F,Negocios Internacionales,5.0,8.0,Si,Si,,1,1,3,1,1,1,0,0, ,0
1007,1007.0,F,Negocios Internacionales,5.0,8.0,Si,Si,,3,1,1,3,3,1,0,0, ,0
1008,1008.0,M,Ing. Mecánica,8.0,10.0,Si,Si,,5,3,1,1,1,1,1,0, ,0
1009,1009.0,M,Ing. Química,9.0,10.0,Si,Si,,5,3,1,1,1,1,1,0, ,0
1010,1010.0,M,Ing. Química,9.0,10.0,Si,Si,,1,1,1,3,5,1,0,0, ,0
1011,1011.0,M,Ing. Química,9.0,11.0,Si,Si,,3,5,5,3,1,1,1,0,1,0
1012,1012.0,M,Ing. Química,8.0,10.0,Si,Si,,3,5,3,1,5,1,1,0, ,0
1013,1013.0,F,Ing. Química,9.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
1014,1014.0,F,Ing. Química,8.0,10.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
1015,1015.0,M,Ing. Industrial,5.0,10.0,Si,Si,,5,3,1,5,3,1,1,0, ,0
